first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,3.0,0.0,0.0,3.0
,18 to 44,343.0,9.0,74.0,426.0
,45 to 64,1917.0,44.0,282.0,2243.0
,65 to 74,1785.0,4.0,680.0,2469.0
,75 and over,3219.0,1.0,1581.0,4801.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,2796.0,8.0,1049.0,3853.0
Sex,Male,4465.0,50.0,1568.0,6083.0
Sex,Unknown,6.0,0.0,2.0,8.0
Borough,Bronx,1993.0,8.0,206.0,2207.0
Borough,Brooklyn,1972.0,17.0,940.0,2929.0
Borough,Manhattan,849.0,8.0,459.0,1316.0
Borough,Queens,2126.0,25.0,851.0,3002.0
Borough,Staten Island,323.0,0.0,162.0,485.0
Borough,Unknown,4.0,0.0,1.0,5.0
