first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,6.0,0.0,0.0,6.0
,18 to 44,421.0,15.0,95.0,531.0
,45 to 64,2443.0,60.0,405.0,2908.0
,65 to 74,2355.0,4.0,858.0,3217.0
,75 and over,4319.0,2.0,2015.0,6336.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,3721.0,11.0,1350.0,5082.0
Sex,Male,5809.0,70.0,2020.0,7899.0
Sex,Unknown,14.0,0.0,5.0,19.0
Borough,Bronx,2542.0,14.0,289.0,2845.0
Borough,Brooklyn,2625.0,19.0,1258.0,3902.0
Borough,Manhattan,1114.0,7.0,578.0,1699.0
Borough,Queens,2850.0,41.0,1049.0,3940.0
Borough,Staten Island,408.0,0.0,198.0,606.0
Borough,Unknown,5.0,0.0,3.0,8.0
