first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,6.0,0.0,0.0,6.0
,18 to 44,455.0,15.0,96.0,566.0
,45 to 64,2681.0,64.0,425.0,3170.0
,65 to 74,2630.0,5.0,876.0,3511.0
,75 and over,4902.0,2.0,2003.0,6907.0
,Unknown,1.0,0.0,1.0,2.0
Sex,Female,4178.0,10.0,1363.0,5551.0
Sex,Male,6486.0,76.0,2034.0,8596.0
Sex,Unknown,11.0,0.0,4.0,15.0
Borough,Bronx,2754.0,15.0,313.0,3082.0
Borough,Brooklyn,3049.0,21.0,1190.0,4260.0
Borough,Manhattan,1239.0,7.0,628.0,1874.0
Borough,Queens,3180.0,43.0,1046.0,4269.0
Borough,Staten Island,447.0,0.0,222.0,669.0
Borough,Unknown,6.0,0.0,2.0,8.0
