first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,6.0,0.0,0.0,6.0
,18 to 44,431.0,14.0,89.0,534.0
,45 to 64,2532.0,60.0,345.0,2937.0
,65 to 74,2470.0,5.0,785.0,3260.0
,75 and over,4586.0,2.0,1829.0,6417.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,3915.0,9.0,1220.0,5144.0
Sex,Male,6090.0,72.0,1826.0,7988.0
Sex,Unknown,20.0,0.0,4.0,24.0
Borough,Bronx,2572.0,15.0,281.0,2868.0
Borough,Brooklyn,2861.0,19.0,1072.0,3952.0
Borough,Manhattan,1153.0,6.0,563.0,1722.0
Borough,Queens,3017.0,41.0,935.0,3993.0
Borough,Staten Island,416.0,0.0,197.0,613.0
Borough,Unknown,6.0,0.0,2.0,8.0
