first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,1.0,0.0,0.0,1.0
,18 to 44,65.0,8.0,19.0,92.0
,45 to 64,312.0,14.0,58.0,384.0
,65 to 74,315.0,1.0,69.0,385.0
,75 and over,485.0,3.0,234.0,722.0
Sex,Female,445.0,6.0,146.0,597.0
Sex,Male,731.0,20.0,234.0,985.0
Sex,Unknown,2.0,0.0,0.0,2.0
Borough,Bronx,391.0,7.0,40.0,438.0
Borough,Brooklyn,253.0,6.0,129.0,388.0
Borough,Manhattan,126.0,2.0,51.0,179.0
Borough,Queens,347.0,11.0,141.0,499.0
Borough,Staten Island,60.0,0.0,19.0,79.0
Borough,Unknown,1.0,0.0,0.0,1.0
