first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,1.0,0.0,0.0,1.0
,18 to 44,78.0,8.0,29.0,115.0
,45 to 64,360.0,17.0,76.0,453.0
,65 to 74,347.0,3.0,120.0,470.0
,75 and over,535.0,4.0,327.0,866.0
Sex,Female,502.0,6.0,212.0,720.0
Sex,Male,817.0,26.0,340.0,1183.0
Sex,Unknown,2.0,0.0,0.0,2.0
Borough,Bronx,440.0,8.0,66.0,514.0
Borough,Brooklyn,283.0,7.0,196.0,486.0
Borough,Manhattan,144.0,4.0,69.0,217.0
Borough,Queens,388.0,13.0,189.0,590.0
Borough,Staten Island,65.0,0.0,32.0,97.0
Borough,Unknown,1.0,0.0,0.0,1.0
