first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,3.0,0.0,0.0,3.0
,18 to 44,240.0,24.0,37.0,301.0
,45 to 64,1305.0,57.0,167.0,1529.0
,65 to 74,1240.0,26.0,345.0,1611.0
,75 and over,2246.0,26.0,873.0,3145.0
,Unknown,0.0,0.0,0.0,0.0
Sex,Female,1835.0,35.0,564.0,2434.0
Sex,Male,3008.0,94.0,839.0,3941.0
Sex,Unknown,191.0,4.0,19.0,214.0
Borough,Bronx,1371.0,16.0,125.0,1512.0
Borough,Brooklyn,1323.0,49.0,498.0,1869.0
Borough,Manhattan,528.0,18.0,210.0,756.0
Borough,Queens,1563.0,45.0,497.0,2105.0
Borough,Staten Island,247.0,5.0,93.0,345.0
Borough,Unknown,2.0,0.0,0.0,2.0
