first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,6.0,0.0,0.0,6.0
,18 to 44,439.0,15.0,91.0,545.0
,45 to 64,2590.0,61.0,377.0,3028.0
,65 to 74,2533.0,5.0,825.0,3363.0
,75 and over,4694.0,2.0,1897.0,6593.0
,Unknown,0.0,0.0,1.0,1.0
Sex,Female,4005.0,10.0,1269.0,5284.0
Sex,Male,6244.0,73.0,1919.0,8236.0
Sex,Unknown,13.0,0.0,3.0,16.0
Borough,Bronx,2632.0,16.0,288.0,2936.0
Borough,Brooklyn,2940.0,19.0,1121.0,4080.0
Borough,Manhattan,1181.0,6.0,587.0,1774.0
Borough,Queens,3074.0,42.0,986.0,4102.0
Borough,Staten Island,429.0,0.0,207.0,636.0
Borough,Unknown,6.0,0.0,2.0,8.0
