first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,6.0,0.0,0.0,6.0
,18 to 44,401.0,14.0,92.0,507.0
,45 to 64,2363.0,54.0,386.0,2803.0
,65 to 74,2255.0,4.0,842.0,3101.0
,75 and over,4140.0,1.0,2011.0,6152.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,3563.0,11.0,1356.0,4930.0
Sex,Male,5596.0,62.0,1974.0,7632.0
Sex,Unknown,6.0,0.0,3.0,9.0
Borough,Bronx,2437.0,13.0,273.0,2723.0
Borough,Brooklyn,2515.0,17.0,1236.0,3768.0
Borough,Manhattan,1060.0,7.0,578.0,1645.0
Borough,Queens,2752.0,36.0,1044.0,3832.0
Borough,Staten Island,397.0,0.0,199.0,596.0
Borough,Unknown,4.0,0.0,3.0,7.0
