first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,2.0,0.0,0.0,2.0
,18 to 44,98.0,9.0,33.0,140.0
,45 to 64,456.0,28.0,104.0,587.0
,65 to 74,421.0,5.0,187.0,613.0
,75 and over,646.0,4.0,483.0,1133.0
Sex,Female,608.0,10.0,303.0,920.0
Sex,Male,1013.0,36.0,504.0,1553.0
Sex,Unknown,2.0,0.0,0.0,2.0
Borough,Bronx,541.0,10.0,76.0,627.0
Borough,Brooklyn,357.0,8.0,305.0,669.0
Borough,Manhattan,179.0,8.0,90.0,277.0
Borough,Queens,465.0,20.0,286.0,771.0
Borough,Staten Island,80.0,0.0,50.0,130.0
Borough,Unknown,1.0,0.0,0.0,1.0
