first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,5.0,0.0,0.0,5.0
,18 to 44,381.0,10.0,91.0,482.0
,45 to 64,2225.0,52.0,372.0,2649.0
,65 to 74,2065.0,5.0,840.0,2910.0
,75 and over,3819.0,1.0,1952.0,5772.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,3303.0,8.0,1313.0,4624.0
Sex,Male,5174.0,60.0,1937.0,7171.0
Sex,Unknown,18.0,0.0,7.0,25.0
Borough,Bronx,2285.0,10.0,273.0,2568.0
Borough,Brooklyn,2291.0,17.0,1208.0,3516.0
Borough,Manhattan,975.0,7.0,568.0,1550.0
Borough,Queens,2565.0,34.0,1009.0,3608.0
Borough,Staten Island,375.0,0.0,197.0,572.0
Borough,Unknown,4.0,0.0,2.0,6.0
