first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,3.0,0.0,0.0,3.0
,18 to 44,208.0,23.0,33.0,264.0
,45 to 64,1103.0,48.0,147.0,1298.0
,65 to 74,1079.0,18.0,251.0,1348.0
,75 and over,1883.0,21.0,646.0,2550.0
Sex,Female,1545.0,24.0,421.0,1990.0
Sex,Male,2539.0,82.0,636.0,3257.0
Sex,Unknown,192.0,4.0,20.0,216.0
Borough,Bronx,1165.0,11.0,94.0,1270.0
Borough,Brooklyn,1090.0,42.0,379.0,1511.0
Borough,Manhattan,450.0,14.0,166.0,630.0
Borough,Queens,1354.0,40.0,368.0,1762.0
Borough,Staten Island,216.0,3.0,70.0,289.0
Borough,Unknown,1.0,0.0,0.0,1.0
