first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,3.0,0.0,0.0,3.0
,18 to 44,294.0,8.0,51.0,353.0
,45 to 64,1563.0,30.0,195.0,1788.0
,65 to 74,1455.0,3.0,504.0,1962.0
,75 and over,2576.0,1.0,1206.0,3783.0
,Unknown,0.0,0.0,1.0,1.0
Sex,Female,2234.0,5.0,794.0,3033.0
Sex,Male,3646.0,37.0,1160.0,4843.0
Sex,Unknown,11.0,0.0,3.0,14.0
Borough,Bronx,1621.0,7.0,174.0,1802.0
Borough,Brooklyn,1567.0,14.0,712.0,2293.0
Borough,Manhattan,653.0,6.0,345.0,1004.0
Borough,Queens,1774.0,15.0,613.0,2402.0
Borough,Staten Island,272.0,0.0,113.0,385.0
Borough,Unknown,4.0,0.0,0.0,4.0
