first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,3.0,0.0,0.0,3.0
,18 to 44,306.0,9.0,58.0,373.0
,45 to 64,1641.0,34.0,240.0,1915.0
,65 to 74,1506.0,3.0,577.0,2086.0
,75 and over,2689.0,1.0,1380.0,4070.0
,Unknown,0.0,0.0,1.0,1.0
Sex,Female,2337.0,8.0,920.0,3265.0
Sex,Male,3794.0,39.0,1328.0,5161.0
Sex,Unknown,14.0,0.0,8.0,22.0
Borough,Bronx,1706.0,8.0,203.0,1917.0
Borough,Brooklyn,1644.0,15.0,831.0,2490.0
Borough,Manhattan,681.0,7.0,400.0,1088.0
Borough,Queens,1831.0,17.0,695.0,2543.0
Borough,Staten Island,279.0,0.0,127.0,406.0
Borough,Unknown,4.0,0.0,0.0,4.0
