first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,6.0,0.0,0.0,6.0
,18 to 44,393.0,12.0,92.0,497.0
,45 to 64,2314.0,53.0,375.0,2742.0
,65 to 74,2209.0,4.0,814.0,3027.0
,75 and over,4057.0,1.0,1955.0,6013.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,3487.0,9.0,1325.0,4821.0
Sex,Male,5482.0,61.0,1909.0,7452.0
Sex,Unknown,10.0,0.0,4.0,14.0
Borough,Bronx,2388.0,12.0,260.0,2660.0
Borough,Brooklyn,2464.0,16.0,1198.0,3678.0
Borough,Manhattan,1023.0,7.0,570.0,1600.0
Borough,Queens,2708.0,35.0,1012.0,3755.0
Borough,Staten Island,392.0,0.0,196.0,588.0
Borough,Unknown,4.0,0.0,2.0,6.0
