first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,1.0,0.0,0.0,1.0
,18 to 44,31.0,1.0,9.0,41.0
,45 to 64,144.0,7.0,38.0,189.0
,65 to 74,154.0,1.0,30.0,185.0
,75 and over,309.0,3.0,62.0,374.0
Sex,Female,253.0,5.0,50.0,308.0
Sex,Male,386.0,7.0,89.0,482.0
Borough,Bronx,183.0,0.0,10.0,193.0
Borough,Brooklyn,136.0,5.0,47.0,188.0
Borough,Manhattan,83.0,1.0,19.0,103.0
Borough,Queens,200.0,6.0,50.0,256.0
Borough,Staten Island,36.0,0.0,13.0,49.0
Borough,Unknown,1.0,0.0,0.0,1.0
