first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,3.0,0.0,0.0,3.0
,18 to 44,333.0,9.0,72.0,414.0
,45 to 64,1843.0,40.0,270.0,2153.0
,65 to 74,1722.0,4.0,652.0,2378.0
,75 and over,3109.0,1.0,1501.0,4611.0
,Unknown,0.0,0.0,3.0,3.0
Sex,Female,2677.0,8.0,1012.0,3697.0
Sex,Male,4314.0,46.0,1477.0,5837.0
Sex,Unknown,19.0,0.0,9.0,28.0
Borough,Bronx,1936.0,8.0,200.0,2144.0
Borough,Brooklyn,1890.0,16.0,901.0,2807.0
Borough,Manhattan,808.0,8.0,443.0,1259.0
Borough,Queens,2055.0,22.0,800.0,2877.0
Borough,Staten Island,317.0,0.0,153.0,470.0
Borough,Unknown,4.0,0.0,1.0,5.0
