first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,4.0,0.0,1.0,5.0
,18 to 44,365.0,9.0,79.0,453.0
,45 to 64,2055.0,52.0,311.0,2418.0
,65 to 74,1940.0,4.0,728.0,2672.0
,75 and over,3529.0,1.0,1666.0,5196.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,3053.0,8.0,1107.0,4168.0
Sex,Male,4830.0,58.0,1676.0,6564.0
Sex,Unknown,10.0,0.0,4.0,14.0
Borough,Bronx,2108.0,10.0,224.0,2342.0
Borough,Brooklyn,2136.0,17.0,1037.0,3190.0
Borough,Manhattan,905.0,9.0,476.0,1390.0
Borough,Queens,2391.0,30.0,883.0,3304.0
Borough,Staten Island,349.0,0.0,166.0,515.0
Borough,Unknown,4.0,0.0,1.0,5.0
