first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,2.0,0.0,0.0,2.0
,18 to 44,88.0,9.0,35.0,132.0
,45 to 64,402.0,21.0,112.0,535.0
,65 to 74,401.0,4.0,152.0,557.0
,75 and over,610.0,4.0,416.0,1030.0
Sex,Female,559.0,7.0,271.0,837.0
Sex,Male,942.0,31.0,444.0,1417.0
Sex,Unknown,2.0,0.0,0.0,2.0
Borough,Bronx,506.0,9.0,61.0,576.0
Borough,Brooklyn,326.0,7.0,278.0,611.0
Borough,Manhattan,173.0,7.0,84.0,264.0
Borough,Queens,423.0,15.0,248.0,686.0
Borough,Staten Island,74.0,0.0,44.0,118.0
Borough,Unknown,1.0,0.0,0.0,1.0
