first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,3.0,0.0,0.0,3.0
,18 to 44,244.0,25.0,40.0,309.0
,45 to 64,1343.0,59.0,179.0,1581.0
,65 to 74,1272.0,26.0,385.0,1683.0
,75 and over,2289.0,27.0,947.0,3263.0
,Unknown,0.0,0.0,1.0,1.0
Sex,Female,1873.0,37.0,620.0,2530.0
Sex,Male,3087.0,96.0,912.0,4095.0
Sex,Unknown,191.0,4.0,20.0,215.0
Borough,Bronx,1431.0,18.0,135.0,1584.0
Borough,Brooklyn,1342.0,50.0,562.0,1954.0
Borough,Manhattan,533.0,18.0,220.0,771.0
Borough,Queens,1592.0,46.0,541.0,2179.0
Borough,Staten Island,250.0,5.0,94.0,349.0
Borough,Unknown,3.0,0.0,0.0,3.0
