first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,4.0,0.0,0.0,4.0
,18 to 44,350.0,9.0,75.0,434.0
,45 to 64,1976.0,47.0,308.0,2331.0
,65 to 74,1836.0,4.0,706.0,2546.0
,75 and over,3308.0,1.0,1664.0,4973.0
,Unknown,0.0,0.0,2.0,2.0
Sex,Female,2874.0,8.0,1112.0,3994.0
Sex,Male,4590.0,53.0,1638.0,6281.0
Sex,Unknown,10.0,0.0,5.0,15.0
Borough,Bronx,2046.0,9.0,217.0,2272.0
Borough,Brooklyn,2033.0,17.0,990.0,3040.0
Borough,Manhattan,880.0,9.0,470.0,1359.0
Borough,Queens,2187.0,26.0,901.0,3114.0
Borough,Staten Island,324.0,0.0,176.0,500.0
Borough,Unknown,4.0,0.0,1.0,5.0
