first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
,0 to 17,1.0,0.0,0.0,1.0
,18 to 44,44.0,2.0,20.0,66.0
,45 to 64,189.0,9.0,73.0,271.0
,65 to 74,197.0,0.0,71.0,268.0
,75 and over,358.0,3.0,172.0,533.0
Sex,Female,298.0,4.0,115.0,417.0
Sex,Male,490.0,10.0,221.0,721.0
Sex,Unknown,1.0,0.0,0.0,1.0
Borough,Bronx,247.0,1.0,41.0,289.0
Borough,Brooklyn,163.0,4.0,97.0,264.0
Borough,Manhattan,93.0,1.0,38.0,132.0
Borough,Queens,241.0,8.0,137.0,386.0
Borough,Staten Island,44.0,0.0,23.0,67.0
Borough,Unknown,1.0,0.0,0.0,1.0
